model,n_seeds,scenario,maxe_pct_ci95,maxe_pct_max,maxe_pct_mean,maxe_pct_min,maxe_pct_std,rmse_40degC_ci95,rmse_40degC_max,rmse_40degC_mean,rmse_40degC_min,rmse_40degC_std,rmse_n20degC_ci95,rmse_n20degC_max,rmse_n20degC_mean,rmse_n20degC_min,rmse_n20degC_std,rmse_pct_ci95,rmse_pct_max,rmse_pct_mean,rmse_pct_min,rmse_pct_std
hard_coulomb_lstm,5,scenario_A,0.6687,47.674,46.4673,45.7431,0.7629,0.1831,4.7747,4.579,4.2817,0.2089,0.3425,16.8862,16.3274,15.991,0.3908,0.1669,11.1557,10.874,10.7219,0.1904
hard_coulomb_tcn,5,scenario_A,3.4763,51.7787,45.4441,41.8568,3.9659,0.7941,6.0541,4.7191,3.5542,0.906,2.6792,21.7171,16.7679,13.8176,3.0566,1.4996,13.9945,11.1181,9.6103,1.7108
hc_anchor_last,5,scenario_A,3.3722,43.0967,36.4976,32.9688,3.8472,0.2313,5.68,5.2951,5.0399,0.2639,2.0653,18.7133,15.0454,12.3775,2.3562,0.9551,11.7585,9.993,8.9377,1.0897
hc_anchor_pooled,5,scenario_A,1.244,42.8122,40.4926,39.0379,1.4192,0.6518,5.8117,4.8341,3.802,0.7436,1.8501,19.5661,16.4529,14.4415,2.1106,0.8574,12.1727,10.7501,9.8033,0.9781
vanilla_lstm,5,scenario_A,1.3484,48.9646,47.4796,44.9975,1.5383,0.3501,5.2687,4.838,4.3904,0.3994,0.2229,17.6039,17.2103,16.914,0.2543,0.1576,11.5739,11.3474,11.1555,0.1798
hard_coulomb_lstm,5,scenario_B,0.542,36.5163,35.5544,34.9534,0.6184,0.8852,8.7298,7.4564,6.2144,1.0099,0.2059,8.1735,7.7697,7.5867,0.2349,0.5244,11.2128,10.6291,9.8583,0.5982
hard_coulomb_tcn,5,scenario_B,2.0687,42.8857,40.3538,36.6244,2.36,1.6048,6.8885,3.6263,2.6007,1.8309,1.2897,12.4692,10.6768,8.5432,1.4713,1.0167,9.9132,7.9132,6.9866,1.1599
hc_anchor_last,5,scenario_B,1.1497,36.345,34.4872,33.2502,1.3117,0.4701,3.1664,2.35,1.7381,0.5363,0.351,8.3152,8.053,7.3552,0.4005,0.2753,5.1074,4.7432,4.4901,0.3141
hc_anchor_pooled,5,scenario_B,2.8016,37.3042,33.9834,30.3508,3.1963,0.809,4.0344,2.5705,1.7071,0.9229,0.7356,8.4446,7.4634,6.4781,0.8392,0.7383,6.2316,4.9279,4.0995,0.8423
vanilla_lstm,5,scenario_B,1.0884,52.8366,50.8375,49.7971,1.2417,0.3509,4.0872,3.4452,3.0009,0.4004,0.3299,9.2522,8.6908,8.3857,0.3763,0.2383,6.6765,6.1997,6.0234,0.2718
