model,scenario,seed,dataset_version,mae_pct,maxe_pct,pvr_disch_eps0,rmse_40degC,rmse_n20degC,rmse_pct
vanilla_lstm,scenario_A,1,v5c,8.2575,47.492,42.8202,4.3904,17.1096,11.1555
vanilla_lstm,scenario_A,2,v5c,8.447,47.4177,48.4248,4.7079,17.1577,11.2817
vanilla_lstm,scenario_A,3,v5c,8.5911,44.9975,43.6448,4.5763,17.6039,11.5739
vanilla_lstm,scenario_A,4,v5c,8.583,48.5264,46.3622,5.2687,17.2664,11.498
vanilla_lstm,scenario_A,5,v5c,8.4529,48.9646,48.2386,5.2465,16.914,11.228
hard_coulomb_lstm,scenario_A,1,v5c,8.4237,45.9587,0.0,4.4421,16.8862,11.1557
hard_coulomb_lstm,scenario_A,2,v5c,8.2281,47.674,0.0,4.7164,16.1665,10.7801
hard_coulomb_lstm,scenario_A,3,v5c,8.1965,45.7431,0.0,4.7747,16.0159,10.7277
hard_coulomb_lstm,scenario_A,4,v5c,8.1769,46.2704,0.0,4.6801,15.991,10.7219
hard_coulomb_lstm,scenario_A,5,v5c,8.2936,46.6905,0.0,4.2817,16.5773,10.9846
hc_anchor_last,scenario_A,1,v5c,8.0643,35.651,0.0,5.0664,15.5983,10.2294
hc_anchor_last,scenario_A,2,v5c,7.4384,35.465,0.0,5.0399,14.5175,9.6068
hc_anchor_last,scenario_A,3,v5c,6.7571,35.3065,0.0,5.68,12.3775,8.9377
hc_anchor_last,scenario_A,4,v5c,7.4715,32.9688,0.0,5.4079,14.0203,9.4328
hc_anchor_last,scenario_A,5,v5c,9.0708,43.0967,0.0,5.2814,18.7133,11.7585
hc_anchor_pooled,scenario_A,1,v5c,9.2918,42.8122,0.0,3.802,19.5661,12.1727
hc_anchor_pooled,scenario_A,2,v5c,7.9967,39.0379,0.0,5.0964,15.6626,10.4065
hc_anchor_pooled,scenario_A,3,v5c,7.3619,40.0591,0.0,4.9544,14.4415,9.8033
hc_anchor_pooled,scenario_A,4,v5c,7.878,39.9036,0.0,5.8117,14.9918,10.0594
hc_anchor_pooled,scenario_A,5,v5c,8.5908,40.6504,0.0,4.5059,17.6027,11.3084
hard_coulomb_tcn,scenario_A,1,v5c,7.9064,44.8111,0.0,4.9275,15.641,10.4308
hard_coulomb_tcn,scenario_A,2,v5c,7.645,42.4787,0.0,4.6501,15.2089,10.3
hard_coulomb_tcn,scenario_A,3,v5c,7.0383,41.8568,0.0,3.5542,13.8176,9.6103
hard_coulomb_tcn,scenario_A,4,v5c,10.7274,51.7787,0.0,6.0541,21.7171,13.9945
hard_coulomb_tcn,scenario_A,5,v5c,8.3884,46.2952,0.0,4.4094,17.4549,11.2551
vanilla_lstm,scenario_B,1,v5c,3.9338,50.4288,36.7124,3.2747,8.9067,6.1674
vanilla_lstm,scenario_B,2,v5c,3.7621,51.1829,37.574,3.4645,8.4497,6.0234
vanilla_lstm,scenario_B,3,v5c,4.0119,49.7971,34.4352,3.3986,8.3857,6.0578
vanilla_lstm,scenario_B,4,v5c,3.948,49.942,35.8713,3.0009,8.4596,6.0735
vanilla_lstm,scenario_B,5,v5c,4.1292,52.8366,41.9005,4.0872,9.2522,6.6765
hard_coulomb_lstm,scenario_B,1,v5c,8.5177,35.0724,0.0,6.9531,7.767,9.8583
hard_coulomb_lstm,scenario_B,2,v5c,9.7737,35.5734,0.0,8.7298,7.6473,11.2128
hard_coulomb_lstm,scenario_B,3,v5c,8.7337,34.9534,0.0,6.2144,7.6741,10.1728
hard_coulomb_lstm,scenario_B,4,v5c,9.3561,36.5163,0.0,7.1677,8.1735,10.7488
hard_coulomb_lstm,scenario_B,5,v5c,9.7324,35.6564,0.0,8.2172,7.5867,11.1526
hc_anchor_last,scenario_B,1,v5c,3.0447,33.2502,0.0,1.7381,8.3076,4.4901
hc_anchor_last,scenario_B,2,v5c,3.4371,36.345,0.0,3.1664,8.1914,5.0638
hc_anchor_last,scenario_B,3,v5c,3.1015,33.9539,0.0,2.1162,8.0954,4.5573
hc_anchor_last,scenario_B,4,v5c,3.6614,35.3412,0.0,2.5298,8.3152,5.1074
hc_anchor_last,scenario_B,5,v5c,3.1715,33.5457,0.0,2.1995,7.3552,4.4972
hc_anchor_pooled,scenario_B,1,v5c,2.751,30.7781,0.0,1.7071,6.4781,4.0995
hc_anchor_pooled,scenario_B,2,v5c,2.9525,30.3508,0.0,2.0464,6.6973,4.3301
hc_anchor_pooled,scenario_B,3,v5c,3.4052,36.0435,0.0,2.8795,7.849,4.7802
hc_anchor_pooled,scenario_B,4,v5c,3.4382,35.4404,0.0,2.1853,7.8479,5.1982
hc_anchor_pooled,scenario_B,5,v5c,4.6456,37.3042,0.0,4.0344,8.4446,6.2316
hard_coulomb_tcn,scenario_B,1,v5c,5.3841,42.8857,0.0,2.6007,12.4692,7.859
hard_coulomb_tcn,scenario_B,2,v5c,5.275,39.7922,0.0,3.0461,10.0752,7.3883
hard_coulomb_tcn,scenario_B,3,v5c,8.2918,41.0133,0.0,6.8885,10.9384,9.9132
hard_coulomb_tcn,scenario_B,4,v5c,4.94,41.4536,0.0,2.7428,11.358,7.4191
hard_coulomb_tcn,scenario_B,5,v5c,4.5987,36.6244,0.0,2.8533,8.5432,6.9866
